Exp,GazeP,Impf,DisType,Para,mean,HDI_low,HDI_high
S8,Glabella,Agr,Bernoulli(Choice),Type,-0.2086532815647942,-0.9153174889921581,0.4627592989195931
S8,Glabella,Agr,Beta(Weight),Type,-0.3932930575618586,-0.5192499313422332,-0.27575685118012616
S8,Glabella,Neu,Bernoulli(Choice),Type,0.8525678048282492,-0.3110317218061831,1.9267516489017074
S8,Glabella,Neu,Beta(Weight),Type,-0.39905863952959886,-0.5188439490998408,-0.28294676222339815
S8,Glabella,Ext,Bernoulli(Choice),Type,-0.039880237793506135,-1.0119752462261655,0.8508955256355437
S8,Glabella,Ext,Beta(Weight),Type,-0.4093022567725677,-0.5319929460392983,-0.30079889185886033
S8,Glabella,Ope,Bernoulli(Choice),Type,0.5855657041230322,-0.3563494719400084,1.6003909949803956
S8,Glabella,Ope,Beta(Weight),Type,-0.3654703492515302,-0.47905291401929395,-0.24136355426273687
S8,Glabella,Con,Bernoulli(Choice),Type,1.4714263468513544,0.39512447038727083,2.6909259281069158
S8,Glabella,Con,Beta(Weight),Type,-0.4053016987493166,-0.5200387488572398,-0.29081773308509257
S8,Forehead,Agr,Bernoulli(Choice),Type,3.5373173130200746,1.4015103540032245,6.056650307601099
S8,Forehead,Agr,Beta(Weight),Type,-0.4169573791118665,-0.4968298532557363,-0.33739247213334767
S8,Forehead,Neu,Bernoulli(Choice),Type,6.49736628591862,2.0495927391279785,11.460767177641804
S8,Forehead,Neu,Beta(Weight),Type,-0.42252864621720243,-0.5000794051982275,-0.3427605981654918
S8,Forehead,Ext,Bernoulli(Choice),Type,1.2357936000598837,0.2008551915681714,2.377980398393829
S8,Forehead,Ext,Beta(Weight),Type,-0.35188897020625887,-0.42708048269350224,-0.27201619570548624
S8,Forehead,Ope,Bernoulli(Choice),Type,2.9717040960964263,1.194121048449636,4.830334245605477
S8,Forehead,Ope,Beta(Weight),Type,-0.30610255666787267,-0.39037289276953685,-0.2223559777653348
S8,Forehead,Con,Bernoulli(Choice),Type,2.3911066523478763,0.670709042667891,4.380368445110872
S8,Forehead,Con,Beta(Weight),Type,-0.45843323133201114,-0.5380612601908704,-0.3801823381017877
S8,Eyebrow,Agr,Bernoulli(Choice),Type,3.4663061241454667,0.9022320448994643,6.172746226338955
S8,Eyebrow,Agr,Beta(Weight),Type,-0.1241469171137804,-0.23178909592381836,-0.023398563474396637
S8,Eyebrow,Neu,Bernoulli(Choice),Type,6.359503307170785,1.7215670820541673,11.427747560248728
S8,Eyebrow,Neu,Beta(Weight),Type,-0.11867010673756645,-0.21992759379392304,-0.016745107753995604
S8,Eyebrow,Ext,Bernoulli(Choice),Type,6.206404361390896,1.7770445861084725,10.75340901711254
S8,Eyebrow,Ext,Beta(Weight),Type,0.043015953573388735,-0.06584198949892929,0.1490360667134907
S8,Eyebrow,Ope,Bernoulli(Choice),Type,3.4952047851989705,1.1282419506733121,6.118717974556634
S8,Eyebrow,Ope,Beta(Weight),Type,-0.010481213506283785,-0.11114795722913393,0.0928782980037147
S8,Eyebrow,Con,Bernoulli(Choice),Type,6.365235081345301,2.0565980555350234,11.192758685630363
S8,Eyebrow,Con,Beta(Weight),Type,-0.19373835719721888,-0.2901187786353344,-0.08338082520951173
S8,Eye,Agr,Bernoulli(Choice),Type,1.8307185869357185,0.15203785116068663,3.5034163732618615
S8,Eye,Agr,Beta(Weight),Type,-0.3965107414122827,-0.49077302667762995,-0.28977078945450124
S8,Eye,Neu,Bernoulli(Choice),Type,3.3048108267086476,1.0876489820052275,5.88435848766452
S8,Eye,Neu,Beta(Weight),Type,-0.4609610071002807,-0.5568144634180412,-0.36682499024706766
S8,Eye,Ext,Bernoulli(Choice),Type,8.561546461612217,3.694676778231731,13.88837500949957
S8,Eye,Ext,Beta(Weight),Type,-0.4353220555314169,-0.5303376857779163,-0.34299178627721405
S8,Eye,Ope,Bernoulli(Choice),Type,3.379141300342434,0.894442453919214,6.014432067208735
S8,Eye,Ope,Beta(Weight),Type,-0.3491631397536146,-0.44802279971169345,-0.24510106334592713
S8,Eye,Con,Bernoulli(Choice),Type,1.5547377648762015,0.33381883297863846,2.7643715759899252
S8,Eye,Con,Beta(Weight),Type,-0.5697475658411418,-0.6662885900714745,-0.4810000730530069
S8,Nose,Agr,Bernoulli(Choice),Type,-0.04253386037863803,-0.9004327195282117,0.7916963636128571
S8,Nose,Agr,Beta(Weight),Type,-0.6057077851921491,-0.7099362484962634,-0.5019540435830199
